date,time,sensor_id,direction_1,direction_2,total_of_directions,date_time
2022/11/05,22:15,57,4,3,7,2022/11/05 10:15:00 PM
2022/11/05,22:18,23,8,0,8,2022/11/05 10:18:00 PM
2022/11/05,22:15,5,10,11,21,2022/11/05 10:15:00 PM
2022/11/05,22:24,4,12,11,23,2022/11/05 10:24:00 PM
2022/11/05,22:18,44,0,2,2,2022/11/05 10:18:00 PM
2022/11/05,22:31,56,3,3,6,2022/11/05 10:31:00 PM
2022/11/05,22:19,69,1,0,1,2022/11/05 10:19:00 PM
2022/11/05,22:17,21,10,5,15,2022/11/05 10:17:00 PM
2022/11/05,22:26,4,12,17,29,2022/11/05 10:26:00 PM
2022/11/05,22:26,9,0,1,1,2022/11/05 10:26:00 PM
2022/11/05,22:18,20,1,18,19,2022/11/05 10:18:00 PM
2022/11/05,22:31,1,3,0,3,2022/11/05 10:31:00 PM
2022/11/05,22:30,67,7,7,14,2022/11/05 10:30:00 PM
2022/11/05,22:15,21,61,11,72,2022/11/05 10:15:00 PM
2022/11/05,22:21,24,0,12,12,2022/11/05 10:21:00 PM
2022/11/05,22:21,77,7,0,7,2022/11/05 10:21:00 PM
2022/11/05,22:29,58,0,1,1,2022/11/05 10:29:00 PM
2022/11/05,22:29,29,24,4,28,2022/11/05 10:29:00 PM
2022/11/05,22:20,70,2,2,4,2022/11/05 10:20:00 PM
2022/11/05,22:27,1,0,7,7,2022/11/05 10:27:00 PM
2022/11/05,22:28,6,15,13,28,2022/11/05 10:28:00 PM
2022/11/05,22:25,35,24,24,48,2022/11/05 10:25:00 PM
2022/11/05,22:24,54,3,2,5,2022/11/05 10:24:00 PM
2022/11/05,22:28,28,11,26,37,2022/11/05 10:28:00 PM
2022/11/05,22:30,45,1,4,5,2022/11/05 10:30:00 PM
2022/11/05,22:20,58,4,4,8,2022/11/05 10:20:00 PM
2022/11/05,22:19,79,9,0,9,2022/11/05 10:19:00 PM
2022/11/05,22:31,27,0,5,5,2022/11/05 10:31:00 PM
2022/11/05,22:20,72,1,15,16,2022/11/05 10:20:00 PM
2022/11/05,22:22,29,29,11,40,2022/11/05 10:22:00 PM
2022/11/05,22:32,4,13,15,28,2022/11/05 10:32:00 PM
2022/11/05,22:20,4,22,9,31,2022/11/05 10:20:00 PM
2022/11/05,22:20,68,1,1,2,2022/11/05 10:20:00 PM
2022/11/05,22:25,56,4,4,8,2022/11/05 10:25:00 PM
2022/11/05,22:24,67,3,3,6,2022/11/05 10:24:00 PM
2022/11/05,22:28,62,3,3,6,2022/11/05 10:28:00 PM
2022/11/05,22:33,4,19,12,31,2022/11/05 10:33:00 PM
2022/11/05,22:28,5,7,4,11,2022/11/05 10:28:00 PM
2022/11/05,22:27,35,27,35,62,2022/11/05 10:27:00 PM
2022/11/05,22:30,47,22,4,26,2022/11/05 10:30:00 PM
2022/11/05,22:26,84,14,13,27,2022/11/05 10:26:00 PM
2022/11/05,22:28,4,20,9,29,2022/11/05 10:28:00 PM
